timestamp_ms,timestamp_s,killerId,victimId,assists,position_x,position_y,bounty,shutdownBounty,window_30s,n_assists
41844,41.844,8,3,"[6, 7, 9, 10]",5381,7020,300,0,1,4
113144,113.144,6,1,[],2354,12331,300,0,3,0
119090,119.09,1,6,[],3260,12182,300,6,3,0
192532,192.532,6,1,[],1840,12253,300,0,6,0
201984,201.984,4,9,[],12828,1764,300,0,6,0
210609,210.609,2,10,"[4, 5]",10712,2500,300,0,7,2
211478,211.478,10,4,[9],11268,1889,300,0,7,1
244285,244.285,8,3,[],6056,6876,275,0,8,0
254071,254.071,7,2,[9],9997,2602,300,26,8,1
254539,254.539,10,5,"[7, 9]",10833,2014,300,0,8,2
269982,269.982,1,6,[],3657,13444,300,16,8,0
289943,289.943,0,1,[],4571,13874,300,0,9,0
318650,318.65,3,8,[],7950,7657,300,126,10,0
326499,326.499,7,3,[8],7513,7294,300,0,10,1
333883,333.883,7,2,[],6070,6221,286,0,11,0
376566,376.566,6,1,[],1939,12331,300,0,12,0
409522,409.522,7,2,"[9, 10]",11940,4230,240,0,13,2
413797,413.797,8,5,"[7, 9, 10]",11856,4580,228,0,13,3
453830,453.83,6,1,[],1425,11445,310,0,15,0
535440,535.44,6,1,[],6393,13967,283,0,17,0
605350,605.35,6,1,[],1253,10769,243,0,20,0
684952,684.952,2,6,[1],2662,12084,340,327,22,1
687257,687.257,7,2,[6],3214,12702,320,0,22,1
692701,692.701,3,8,[5],6724,7162,330,91,23,1
749634,749.634,9,5,[10],11775,2429,214,0,24,1
751906,751.906,9,4,[],11248,3273,320,0,25,0
781312,781.312,9,2,"[7, 10]",10786,1127,320,0,26,2
796718,796.718,8,3,[],6699,6871,340,0,26,0
804792,804.792,9,5,"[7, 10]",8976,2422,150,0,26,2
814388,814.388,4,7,[5],6390,762,330,540,27,1
868244,868.244,5,6,[1],3624,11998,350,0,28,1
870415,870.415,2,7,[],7858,14080,298,0,29,0
932980,932.98,3,8,[5],8366,7091,350,4,31,1
933147,933.147,8,3,[],8083,6222,350,0,31,0
935290,935.29,2,10,[5],8803,6568,320,81,31,1
938196,938.196,9,2,[],9212,6385,350,0,31,0
941937,941.937,7,5,"[8, 9, 10]",7077,6479,285,0,31,3
944609,944.609,4,9,[2],8580,7055,340,421,31,1
948571,948.571,7,4,[9],9909,5934,330,0,31,1
1005803,1005.803,10,5,"[7, 8, 9]",9694,5244,199,0,33,3
1050118,1050.118,6,1,[],2637,11752,360,0,35,0
1053558,1053.558,2,6,[1],3591,11770,370,0,35,1
1096921,1096.921,8,3,[],6548,7042,360,0,36,0
1116829,1116.829,2,8,[],4940,6109,370,117,37,0
1117363,1117.363,7,2,"[8, 10]",5470,5256,370,0,37,2
1140585,1140.585,7,4,[10],4809,8023,340,0,38,1
1156769,1156.769,9,1,"[6, 7, 10]",5039,9483,370,0,38,3
1158873,1158.873,1,7,[5],5308,9255,360,256,38,1
1160977,1160.977,9,5,"[6, 7, 10]",4933,9663,195,0,38,3
1172658,1172.658,3,10,[],5484,8610,340,41,39,0
1173917,1173.917,3,6,[5],5561,8718,309,0,39,1
1223242,1223.242,8,2,[],10829,4502,370,0,40,0
1241430,1241.43,3,6,[5],1602,11706,246,0,41,1
1253092,1253.092,10,5,"[6, 7, 9]",1674,11181,204,0,41,3
1254871,1254.871,9,3,"[6, 7]",1384,10516,370,0,41,2
1386338,1386.338,2,8,"[3, 5]",8638,13628,390,51,46,2
1412921,1412.921,9,4,[],7405,6900,360,0,47,0
1413890,1413.89,1,9,"[2, 4]",8002,6710,390,430,47,2
1430834,1430.834,10,1,"[6, 7]",8781,8675,390,0,47,2
1470029,1470.029,6,5,"[7, 10]",12214,7312,162,0,49,2
1512386,1512.386,10,3,"[7, 8]",7199,7285,390,0,50,2
1521306,1521.306,10,4,"[6, 7]",4071,4812,358,0,50,2
1558767,1558.767,8,1,"[9, 10]",4792,5611,400,0,51,2
1576141,1576.141,2,6,[3],7478,978,390,0,52,1
1696635,1696.635,2,6,"[1, 4, 5]",9285,6367,275,0,56,3
1697693,1697.693,3,10,"[4, 5]",8997,4193,380,381,56,2
1699433,1699.433,9,2,"[6, 8]",10222,6155,400,0,56,2
1705262,1705.262,3,7,"[4, 5]",6008,4416,400,78,56,2
1728380,1728.38,9,1,[8],11443,9873,314,0,57,1
1728646,1728.646,4,9,"[1, 3, 5]",11371,9907,400,123,57,3
1731151,1731.151,8,5,[9],11004,9879,195,0,57,1
1846581,1846.581,2,10,"[3, 5]",2774,6460,325,0,61,2
1848372,1848.372,9,2,"[7, 8, 10]",2644,5833,400,0,61,3
1925116,1925.116,3,8,"[1, 2, 5]",7628,7086,420,239,64,3
1989192,1989.192,9,5,"[7, 10]",6173,10643,189,0,66,2
1997501,1997.501,4,8,"[2, 3]",4840,8619,357,0,66,2
2001442,2001.442,9,2,"[6, 7, 8, 10]",5247,8887,410,0,66,4
2001509,2001.509,6,4,"[7, 8]",3044,7890,400,0,66,2
2015442,2015.442,9,1,"[7, 10]",5222,9421,330,0,67,2
2104557,2104.557,10,5,"[7, 8]",6228,2341,132,0,70,2
2105964,2105.964,9,4,[],4064,690,400,0,70,0
2129625,2129.625,9,3,"[7, 8, 10]",1325,2031,420,0,70,3
2133348,2133.348,9,2,[7],967,2705,420,0,71,1
