window_30s,t_start_s,t_end_s,kill_count,unique_participants,unique_killers,avg_assists,objective_count,dragon_count,baron_count,herald_count,atakhan_count,match_id
8,240,270,1,3,1,1.0,0,0,0,0,0,NA1_5442226236
12,360,390,2,6,2,1.0,0,0,0,0,0,NA1_5442226236
14,420,450,1,3,1,1.0,0,0,0,0,0,NA1_5442226236
15,450,480,2,5,2,0.5,0,0,0,0,0,NA1_5442226236
16,480,510,1,4,1,2.0,0,0,0,0,0,NA1_5442226236
17,510,540,1,2,1,0.0,0,0,0,0,0,NA1_5442226236
18,540,570,2,5,2,0.5,0,0,0,0,0,NA1_5442226236
20,600,630,1,3,1,1.0,0,0,0,0,0,NA1_5442226236
22,660,690,2,4,1,1.0,0,0,0,0,0,NA1_5442226236
26,780,810,3,6,2,2.0,0,0,0,0,0,NA1_5442226236
31,930,960,7,8,4,1.7142857142857142,0,0,0,0,0,NA1_5442226236
34,1020,1050,2,6,2,1.0,0,0,0,0,0,NA1_5442226236
35,1050,1080,1,3,1,1.0,1,1,0,0,0,NA1_5442226236
37,1110,1140,2,6,2,2.5,0,0,0,0,0,NA1_5442226236
38,1140,1170,1,3,1,1.0,0,0,0,0,0,NA1_5442226236
39,1170,1200,2,6,2,2.0,1,0,0,1,0,NA1_5442226236
40,1200,1230,1,5,1,3.0,0,0,0,0,0,NA1_5442226236
41,1230,1260,2,4,2,0.5,0,0,0,0,0,NA1_5442226236
43,1290,1320,2,6,2,3.0,0,0,0,0,0,NA1_5442226236
45,1350,1380,1,3,1,1.0,0,0,0,0,0,NA1_5442226236
46,1380,1410,1,4,1,2.0,1,1,0,0,0,NA1_5442226236
48,1440,1470,1,4,1,2.0,0,0,0,0,0,NA1_5442226236
49,1470,1500,1,4,1,2.0,0,0,0,0,0,NA1_5442226236
51,1530,1560,3,7,3,1.0,0,0,0,0,0,NA1_5442226236
52,1560,1590,1,4,1,2.0,0,0,0,0,0,NA1_5442226236
53,1590,1620,4,9,4,1.25,0,0,0,0,0,NA1_5442226236
