match_id,cluster_id,segment_id,fight_start_s,fight_end_s,window_count,kills_total,kills_peak,participants_peak,objectives_total,barons_total,dragons_total,heralds_total,atakhans_total,fight_score,duration_s
NA1_5441940357,0,2,390,540,3,8,4,8,0,0,0,0,0,51.0,150
NA1_5441940357,0,8,1350,1470,3,7,3,6,0,0,0,0,0,46.5,120
NA1_5441940357,0,7,1200,1290,2,8,5,8,0,0,0,0,0,43.5,90
NA1_5441964751,0,3,690,870,5,9,3,6,0,0,0,0,0,55.5,180
NA1_5441964751,0,0,150,270,3,6,3,7,0,0,0,0,0,39.0,120
NA1_5441964751,0,4,960,1020,2,4,2,6,0,0,0,0,0,27.0,60
NA1_5441981348,0,1,180,540,10,17,4,9,0,0,0,0,0,105.0,360
NA1_5441981348,0,5,1050,1260,7,15,4,7,0,0,0,0,0,87.0,210
NA1_5441981348,0,3,750,810,2,4,3,7,0,0,0,0,0,25.5,60
NA1_5442024222,0,1,510,600,3,5,2,6,0,0,0,0,0,33.0,90
NA1_5442024222,0,5,1170,1230,2,5,3,7,0,0,0,0,0,33.0,60
NA1_5442024222,0,0,270,330,2,4,3,7,0,0,0,0,0,25.5,60
NA1_5442139046,0,0,240,420,4,7,2,7,0,0,0,0,0,49.5,180
NA1_5442139046,0,4,1170,1230,2,4,2,6,0,0,0,0,0,25.5,60
NA1_5442139046,0,6,1560,1650,2,3,2,6,0,0,0,0,0,21.0,90
NA1_5442226236,0,7,1530,1620,2,7,4,9,0,0,0,0,0,45.0,90
NA1_5442226236,0,6,1230,1320,2,4,2,6,0,0,0,0,0,27.0,90
NA1_5442855892,0,2,840,930,2,6,3,7,0,0,0,0,0,36.0,90
NA1_5442855892,0,4,1320,1380,2,5,3,9,0,0,0,0,0,36.0,60
NA1_5442855892,0,3,1110,1170,2,4,2,6,0,0,0,0,0,30.0,60
NA1_5442877400,0,3,570,780,5,8,2,7,0,0,0,0,0,54.0,210
NA1_5442877400,0,5,1110,1170,2,7,4,9,0,0,0,0,0,45.0,60
NA1_5442877400,0,7,1920,2010,2,7,4,8,0,0,0,0,0,45.0,90
NA1_5442907712,0,4,750,930,5,11,3,6,0,0,0,0,0,64.5,180
NA1_5442907712,0,7,1470,1530,2,6,4,7,0,0,0,0,0,39.0,60
NA1_5442907712,0,6,1230,1320,2,5,4,8,0,0,0,0,0,30.0,90
NA1_5442938752,0,2,600,870,8,13,3,7,0,0,0,0,0,87.0,270
NA1_5442938752,0,3,960,1080,3,7,3,6,0,0,0,0,0,43.5,120
NA1_5442938752,0,6,1620,1680,2,6,4,8,0,0,0,0,0,40.5,60
