match_id,cluster_id,segment_id,fight_start_s,fight_end_s,clip_start_s,clip_end_s,kills_in_fight,participants_est,top_killer_participantId,top_killer_champ,top_killer_kills,obj_dragon,obj_baron,obj_herald,obj_atakhan,obj_tower,obj_inhib,champs_involved,kill_feed,tags
NA1_5441940357,-1,2,390,540,382,546,8,10,2,Shaco,3,0,0,0,0,1,0,Ashe;Caitlyn;Chogath;Lux;Mel;Morgana;Shaco;Viktor;XinZhao;Yone,"Mel -> Ashe | Caitlyn -> Viktor (assists: Shaco) | Yone -> Morgana (assists: Mel) | Shaco -> XinZhao (assists: Yone, Mel) | Shaco -> Morgana (assists: Yone) | Chogath -> Yone | Mel -> XinZhao (assists: Caitlyn, Lux) | Shaco -> Chogath (assists: Yone)",multi-kill
NA1_5441940357,-1,8,1350,1470,1342,1476,7,9,3,Mel,2,0,0,0,0,4,1,Caitlyn;Chogath;Lux;Mel;Morgana;Shaco;Viktor;XinZhao;Yone,"Mel -> Morgana (assists: Caitlyn, Lux) | Viktor -> Caitlyn | Lux -> Viktor (assists: Shaco, Mel, Caitlyn) | XinZhao -> Shaco (assists: Viktor) | Mel -> XinZhao (assists: Lux) | Chogath -> Yone (assists: Morgana) | Lux -> Morgana (assists: Yone, Shaco, Mel)",
NA1_5441940357,-1,7,1200,1290,1192,1296,8,9,8,Viktor,2,0,0,0,0,0,0,Ashe;Chogath;Lux;Mel;Morgana;Shaco;Viktor;XinZhao;Yone,"Viktor -> Lux (assists: XinZhao, Morgana) | Shaco -> Ashe | XinZhao -> Yone (assists: Morgana) | Mel -> XinZhao (assists: Yone, Lux) | Mel -> Morgana | Chogath -> Shaco | Shaco -> Chogath (assists: Lux) | Viktor -> Mel",
NA1_5441964751,-1,3,690,870,682,876,9,10,7,Skarner,3,0,0,0,0,0,0,Ahri;Ambessa;Anivia;Aphelios;Azir;Khazix;Milio;Neeko;Skarner;Xerath,Khazix -> Milio (assists: Xerath) | Khazix -> Aphelios (assists: Neeko) | Ahri -> Azir | Skarner -> Xerath | Skarner -> Ambessa (assists: Anivia) | Skarner -> Khazix (assists: Anivia) | Aphelios -> Neeko (assists: Milio) | Ahri -> Azir,multi-kill
NA1_5441964751,-1,-1,150,270,142,276,7,10,2,Khazix,3,0,0,0,0,0,0,Ahri;Ambessa;Anivia;Aphelios;Azir;Khazix;Milio;Neeko;Skarner;Xerath,Azir -> Ahri | Milio -> Neeko (assists: Aphelios) | Khazix -> Aphelios (assists: Xerath) | Skarner -> Ahri (assists: Azir) | Khazix -> Milio | Anivia -> Ambessa (assists: Skarner) | Khazix -> Azir,multi-kill
NA1_5441964751,-1,4,960,1020,952,1026,4,7,7,Skarner,1,0,0,0,0,1,0,Ambessa;Aphelios;Azir;Khazix;Milio;Skarner;Xerath,"Skarner -> Ambessa (assists: Azir, Milio) | Xerath -> Aphelios | Azir -> Khazix (assists: Milio) | Ambessa -> Milio",
NA1_5441981348,-1,1,180,540,172,546,17,10,6,Ambessa,4,0,0,0,0,0,0,Ambessa;Aphelios;Azir;LeeSin;Leona;MasterYi;Pyke;Sion;Syndra;Yunara,"Ambessa -> Sion | Yunara -> Aphelios | MasterYi -> Pyke (assists: Yunara, Leona) | Pyke -> Yunara (assists: Aphelios) | Syndra -> Azir | LeeSin -> MasterYi (assists: Aphelios) | Pyke -> Leona (assists: LeeSin, Aphelios) | Sion -> Ambessa",multi-kill
NA1_5441981348,-1,5,1050,1260,1042,1266,15,10,9,Aphelios,3,0,0,0,0,1,0,Ambessa;Aphelios;Azir;LeeSin;Leona;MasterYi;Pyke;Sion;Syndra;Yunara,"Ambessa -> Sion | MasterYi -> Ambessa (assists: Sion) | Syndra -> Azir | MasterYi -> Syndra | LeeSin -> MasterYi (assists: Syndra, Pyke) | LeeSin -> Yunara (assists: Pyke) | Aphelios -> Sion (assists: Ambessa, LeeSin, Pyke) | Sion -> LeeSin (assists: Leona)",multi-kill
NA1_5441981348,-1,3,750,810,742,816,4,8,9,Aphelios,3,0,0,0,0,0,0,Aphelios;Azir;LeeSin;Leona;MasterYi;Pyke;Syndra;Yunara,"Aphelios -> Yunara | Aphelios -> MasterYi (assists: LeeSin, Pyke) | Syndra -> Azir | Aphelios -> Leona (assists: LeeSin, Pyke)",multi-kill
NA1_5442024222,-1,1,510,600,502,606,5,9,6,Jayce,1,0,0,0,0,0,0,Anivia;Jayce;Kaisa;Kalista;Lux;Pyke;Syndra;Thresh;XinZhao,Jayce -> Kalista | Thresh -> Syndra (assists: Anivia) | Pyke -> XinZhao (assists: Kalista) | Lux -> Pyke (assists: Thresh) | Kaisa -> Thresh (assists: Pyke),
NA1_5442024222,-1,5,1170,1230,1162,1236,5,8,10,Thresh,1,0,0,0,0,2,1,Anivia;Jayce;Kaisa;Kalista;Lux;Naafiri;Pyke;Thresh,"Thresh -> Pyke (assists: Anivia, Lux) | Jayce -> Kaisa (assists: Lux, Thresh) | Lux -> Naafiri (assists: Jayce, Anivia, Thresh) | Kalista -> Jayce | Anivia -> Kalista (assists: Jayce, Lux, Thresh)",
NA1_5442024222,-1,-1,270,330,262,336,4,8,7,XinZhao,2,0,0,0,0,0,0,Jayce;Kaisa;Kalista;Lux;Naafiri;Pyke;Thresh;XinZhao,Thresh -> Pyke (assists: Lux) | XinZhao -> Naafiri | XinZhao -> Kalista (assists: Jayce) | Lux -> Kaisa,
NA1_5442139046,-1,-1,240,420,232,426,8,9,1,Renekton,2,0,0,0,0,0,0,Bard;Caitlyn;Hwei;Jax;Kindred;Lulu;MissFortune;Renekton;XinZhao,"Hwei -> Lulu (assists: XinZhao, MissFortune, Bard) | Renekton -> Jax | Bard -> Caitlyn (assists: MissFortune) | Renekton -> Jax | MissFortune -> Lulu (assists: XinZhao, Bard) | MissFortune -> Caitlyn (assists: XinZhao, Bard) | Caitlyn -> MissFortune | Kindred -> Jax (assists: Renekton)",
NA1_5442139046,-1,4,1170,1230,1162,1236,4,8,6,Jax,1,0,0,0,0,1,1,Bard;Caitlyn;Hwei;Jax;Kindred;MissFortune;Renekton;XinZhao,"Jax -> Renekton (assists: XinZhao) | Renekton -> XinZhao | MissFortune -> Caitlyn (assists: Hwei, Bard) | Kindred -> Jax",
NA1_5442139046,-1,6,1560,1650,1552,1656,4,9,6,Jax,1,0,0,0,0,1,1,Bard;Hwei;Jax;Kindred;Lulu;MissFortune;Renekton;Syndra;XinZhao,"Jax -> Renekton | Kindred -> XinZhao (assists: Syndra, Lulu) | Hwei -> Kindred (assists: Jax, Bard) | MissFortune -> Lulu (assists: Jax, Hwei, Bard)",
NA1_5442226236,-1,7,1530,1620,1522,1626,8,10,4,MissFortune,3,0,0,0,0,5,2,Aatrox;Karma;LeeSin;MissFortune;Olaf;Seraphine;Shyvana;Vayne;Yasuo;Zyra,"Vayne -> Aatrox | LeeSin -> Vayne (assists: Aatrox, Seraphine) | MissFortune -> Yasuo (assists: Zyra) | MissFortune -> Karma (assists: Zyra, Seraphine) | MissFortune -> Vayne (assists: Zyra, Seraphine) | Vayne -> MissFortune (assists: Karma) | Zyra -> Shyvana (assists: LeeSin, Seraphine) | Aatrox -> Olaf",multi-kill
